Time	Writhe	Twist	Length
50	4.84056	-4.80063	684.059
51	4.83026	-4.75961	679.117
52	4.77877	-4.71184	680.865
53	4.71298	-4.66459	688.609
54	4.64872	-4.60782	699.197
55	4.60128	-4.56954	709.257
56	4.58659	-4.54265	715.555
57	4.60911	-4.5512	715.994
58	4.66162	-4.62028	709.968
59	4.73026	-4.69123	698.74
60	4.79398	-4.76407	685.483
61	4.83516	-4.80154	674.237
62	4.83429	-4.77583	667.929
63	4.78977	-4.71884	667.743
64	4.72367	-4.67569	673.602
65	4.654	-4.61841	683.303
66	4.60128	-4.56711	693.383
67	4.57751	-4.53897	700.57
68	4.59407	-4.53273	702.383
69	4.64446	-4.59645	698.219
70	4.71325	-4.67642	688.601
71	4.7798	-4.74596	676.094
72	4.82882	-4.79815	664.413
73	4.83703	-4.78906	656.955
74	4.80345	-4.72804	655.193
75	4.73744	-4.68455	659.351
76	4.6648	-4.63498	667.755
77	4.607	-4.57485	677.485
78	4.57835	-4.53763	685.268
79	4.58461	-4.52611	688.33
80	4.62957	-4.57228	685.756
81	4.69936	-4.65846	677.845
82	4.77007	-4.73709	666.361
83	4.82192	-4.79381	654.669
84	4.84031	-4.79918	646.392
85	4.81513	-4.74632	643.33
86	4.75565	-4.69534	645.824
87	4.68266	-4.64832	652.936
88	4.61965	-4.588	661.953
89	4.5828	-4.54505	669.958
90	4.5831	-4.52861	674.101
91	4.62014	-4.55557	672.933
92	4.68803	-4.6443	666.446
93	4.75958	-4.72795	656.211
94	4.81619	-4.78818	644.991
95	4.84322	-4.8087	636.055
96	4.82882	-4.76782	631.916
97	4.77566	-4.70891	633
98	4.70358	-4.66688	638.666
99	4.63563	-4.61098	646.905
100	4.59406	-4.55739	654.865
101	4.58549	-4.53534	659.797
102	4.61677	-4.55353	659.791
103	4.67883	-4.62677	654.745
104	4.75168	-4.71685	645.763
105	4.81291	-4.78135	635.231
106	4.84612	-4.81405	626.088
107	4.84072	-4.79141	621.016
108	4.79689	-4.72689	620.742
109	4.72644	-4.68245	625.101
110	4.65668	-4.63162	632.417
111	4.60894	-4.57292	640.061
112	4.59383	-4.54732	645.441
113	4.61461	-4.55311	646.583
114	4.67203	-4.61086	642.882
115	4.74455	-4.70213	635.145
116	4.80715	-4.7778	625.453
117	4.84771	-4.81791	616.31
118	4.85191	-4.81	610.349
119	4.81552	-4.75096	609.115
120	4.75132	-4.70009	612.276
121	4.68109	-4.6535	618.533
122	4.62613	-4.5951	625.769
123	4.60347	-4.56091	631.433
124	4.619	-4.55879	633.475
125	4.66784	-4.60465	630.986
126	4.73749	-4.69191	624.408
127	4.80388	-4.77278	615.628
128	4.85186	-4.81848	606.75
129	4.86267	-4.82141	600.24
130	4.83517	-4.77548	598.028
131	4.77729	-4.71875	600.093
132	4.70577	-4.67234	605.35
133	4.64796	-4.61922	612.093
134	4.61739	-4.57546	617.77
135	4.62411	-4.56784	620.521
136	4.66685	-4.6034	618.919
137	4.73419	-4.6794	613.596
138	4.80147	-4.76518	605.71
139	4.85404	-4.82178	597.17
140	4.87248	-4.83325	590.471
141	4.85404	-4.79658	587.446
142	4.80181	-4.74106	588.56
143	4.73275	-4.6965	592.833
144	4.67034	-4.64206	598.864
145	4.63305	-4.59344	604.633
146	4.63408	-4.57606	607.75
147	4.6697	-4.60382	607.107
148	4.73347	-4.67331	602.701
149	4.80266	-4.76092	595.615
150	4.85647	-4.82248	587.676
151	4.88228	-4.84625	580.889
152	4.87074	-4.81958	577.249
153	4.82445	-4.76737	577.453
154	4.75822	-4.7152	580.873
155	4.69568	-4.6671	586.392
156	4.65334	-4.61633	591.73
157	4.64812	-4.59582	595.175
158	4.67835	-4.61477	595.32
159	4.73698	-4.67276	591.794
160	4.80581	-4.76102	585.607
161	4.86188	-4.83003	578.223
162	4.89157	-4.85445	571.592
163	4.88546	-4.83551	567.516
164	4.84543	-4.78836	567.007
165	4.78561	-4.7366	569.661
166	4.72248	-4.69311	574.267
167	4.67776	-4.6412	579.391
168	4.66621	-4.61512	582.888
169	4.69012	-4.62714	583.651
170	4.74316	-4.67811	580.897
171	4.81095	-4.76218	575.543
172	4.8686	-4.83154	568.81
173	4.9014	-4.86545	562.462
174	4.90231	-4.85653	558.116
175	4.86676	-4.81328	557.003
176	4.81373	-4.76336	558.819
177	4.75212	-4.72215	562.78
178	4.70794	-4.67163	567.415
179	4.68938	-4.63819	571.002
180	4.70721	-4.6438	572.119
181	4.75602	-4.68644	570.115
182	4.81875	-4.76755	565.467
183	4.87596	-4.84471	559.435
184	4.91066	-4.87517	553.484
185	4.91716	-4.87289	549.022
186	4.89129	-4.83989	547.336
187	4.84387	-4.79478	548.592
188	4.78687	-4.75559	551.742
189	4.73713	-4.70496	555.878
190	4.71543	-4.66708	559.387
191	4.72748	-4.66526	560.839
192	4.76825	-4.69644	559.547
193	4.82653	-4.77536	555.633
194	4.88316	-4.8517	550.282
195	4.92284	-4.88898	544.667
196	4.93602	-4.89085	540.281
197	4.91698	-4.86414	538.175
198	4.87364	-4.82626	538.794
199	4.81804	-4.79258	541.5
200	4.76851	-4.73482	545.115
201	4.74227	-4.69631	548.423
202	4.74766	-4.68927	550.058
203	4.7824	-4.71011	549.252
204	4.83578	-4.78014	545.978
205	4.89314	-4.86099	541.3
206	4.93621	-4.89918	536.19
207	4.95462	-4.90928	531.837
208	4.93937	-4.89162	529.573
209	4.89954	-4.85271	529.762
210	4.84686	-4.81974	532.012
211	4.79288	-4.76322	535.181
212	4.76289	-4.71691	538.304
213	4.76365	-4.71207	540.034
214	4.79247	-4.72566	539.545
215	4.84279	-4.78164	536.948
216	4.90013	-4.86418	532.788
217	4.94404	-4.90314	528.124
218	4.96534	-4.91656	524.076
219	4.95209	-4.90763	521.844
220	4.91516	-4.86472	521.736
221	4.86301	-4.83579	523.544
222	4.81069	-4.78184	526.377
223	4.77639	-4.73471	529.119
224	4.77305	-4.72725	530.754
